# chrom	chromStart	chromEnd	readCount	meanCoverage
chr1	0	50000	100	0.29188
chr1	50000	100000	221	0.64732
chr1	100000	150000	161	0.46778
chr1	150000	200000	22	0.06482
chr1	200000	250000	112	0.3298
chr1	250000	300000	20	0.05992
chr1	300000	350000	0	0
chr1	350000	400000	8	0.02254
chr1	400000	450000	8	0.02346
chr1	450000	500000	0	0
chr1	500000	550000	29	0.08184
chr1	550000	600000	154	0.44738
chr1	600000	650000	50	0.14558
chr1	650000	700000	84	0.25016
chr1	700000	750000	2490	5.97648
chr1	750000	800000	1859	4.71148
chr1	800000	850000	852	2.39672
chr1	850000	900000	1170	2.83826
chr1	900000	950000	880	2.32184
chr1	950000	1000000	1126	2.57214
chr1	1000000	1050000	1386	3.42284
chr1	1050000	1100000	830	2.1328
chr1	1100000	1150000	1271	3.13172
chr1	1150000	1200000	2916	6.69904
chr1	1200000	1250000	2475	5.83922
chr1	1250000	1300000	2593	6.09972
chr1	1300000	1350000	2415	5.79002
chr1	1350000	1400000	775	2.07726
chr1	1400000	1450000	1255	3.3143
chr1	1450000	1500000	2750	6.66912
chr1	1500000	1550000	899	2.37786
chr1	1550000	1600000	2185	5.66818
chr1	1600000	1650000	2067	5.31396
chr1	1650000	1700000	1878	4.611
chr1	1700000	1750000	2154	5.41872
chr1	1750000	1800000	1767	4.54272
chr1	1800000	1850000	3658	8.94368
chr1	1850000	1900000	681	1.81526
chr1	1900000	1950000	809	2.21882
chr1	1950000	2000000	862	2.29262
chr1	2000000	2050000	1222	3.1573
chr1	2050000	2100000	1279	3.30068
chr1	2100000	2150000	2219	5.42768
chr1	2150000	2200000	3359	7.88284
chr1	2200000	2250000	4475	10.5777
chr1	2250000	2300000	1151	2.98284
chr1	2300000	2350000	7397	17.2735
chr1	2350000	2400000	1031	2.62802
chr1	2400000	2450000	5243	12.193
chr1	2450000	2500000	5179	12.1094
chr1	2500000	2550000	2170	5.5574
chr1	2550000	2600000	4506	11.898
chr1	2600000	2650000	4648	12.6642
chr1	2650000	2700000	849	2.3264
chr1	2700000	2750000	743	2.0177
chr1	2750000	2800000	735	2.04268
chr1	2800000	2850000	611	1.66166
chr1	2850000	2900000	806	2.21394
chr1	2900000	2950000	864	2.38382
chr1	2950000	3000000	755	2.02726
chr1	3000000	3050000	694	1.89874
chr1	3050000	3100000	677	1.82644
chr1	3100000	3150000	678	1.85494
chr1	3150000	3200000	753	2.08318
chr1	3200000	3250000	730	2.04866
chr1	3250000	3300000	719	1.95376
chr1	3300000	3350000	759	1.99032
chr1	3350000	3400000	782	2.10324
chr1	3400000	3450000	1527	3.85558
chr1	3450000	3500000	685	1.82888
chr1	3500000	3550000	1102	2.81724
chr1	3550000	3600000	2284	5.58204
chr1	3600000	3650000	978	2.46706
chr1	3650000	3700000	3447	8.13318
chr1	3700000	3750000	3304	8.08156
chr1	3750000	3800000	1852	4.7207
chr1	3800000	3850000	1876	4.6944
chr1	3850000	3900000	0	0
chr1	3900000	3950000	0	0
chr1	3950000	4000000	96	0.26794
chr1	4000000	4050000	777	2.15118
chr1	4050000	4100000	896	2.5075
chr1	4100000	4150000	813	2.26042
chr1	4150000	4200000	734	2.08606
chr1	4200000	4250000	792	2.20032
chr1	4250000	4300000	913	2.55448
chr1	4300000	4350000	817	2.30572
chr1	4350000	4400000	830	2.20664
chr1	4400000	4450000	834	2.35048
chr1	4450000	4500000	908	2.57806
chr1	4500000	4550000	818	2.27538
chr1	4550000	4600000	843	2.37114
chr1	4600000	4650000	885	2.4932
chr1	4650000	4700000	768	2.1545
chr1	4700000	4750000	743	2.01748
chr1	4750000	4800000	701	1.91784
chr1	4800000	4850000	821	2.26368
chr1	4850000	4900000	869	2.4614
chr1	4900000	4950000	956	2.741
chr1	4950000	5000000	844	2.36518
chr1	5000000	5050000	911	2.57998
chr1	5050000	5100000	1010	2.83852
chr1	5100000	5150000	856	2.4274
chr1	5150000	5200000	948	2.68732
chr1	5200000	5250000	866	2.45674
chr1	5250000	5300000	889	2.51572
chr1	5300000	5350000	788	2.23224
chr1	5350000	5400000	846	2.38412
chr1	5400000	5450000	895	2.55092
chr1	5450000	5500000	810	2.2507
chr1	5500000	5550000	832	2.33574
chr1	5550000	5600000	849	2.38136
chr1	5600000	5650000	920	2.59586
chr1	5650000	5700000	1004	2.78546
chr1	5700000	5750000	957	2.7022
chr1	5750000	5800000	866	2.43512
chr1	5800000	5850000	763	2.1343
chr1	5850000	5900000	806	2.23784
chr1	5900000	5950000	4065	9.7528
chr1	5950000	6000000	1917	4.89952
chr1	6000000	6050000	1855	4.66892
chr1	6050000	6100000	8724	20.1013
chr1	6100000	6150000	24378	55.3682
chr1	6150000	6200000	7058	16.4591
chr1	6200000	6250000	2188	5.38888
chr1	6250000	6300000	3176	7.74554
chr1	6300000	6350000	2893	6.8572
chr1	6350000	6400000	2865	6.98174
chr1	6400000	6450000	2245	5.66356
chr1	6450000	6500000	843	2.263
chr1	6500000	6550000	2537	5.98096
chr1	6550000	6600000	1316	3.49278
chr1	6600000	6650000	2901	7.07692
chr1	6650000	6700000	4354	10.1817
chr1	6700000	6750000	2263	5.93096
chr1	6750000	6800000	1540	4.06354
chr1	6800000	6850000	1020	2.83702
chr1	6850000	6900000	1744	4.6627
chr1	6900000	6950000	4037	10.4065
chr1	6950000	7000000	1524	4.05076
chr1	7000000	7050000	873	2.37568
chr1	7050000	7100000	1006	2.7872
chr1	7100000	7150000	1067	2.84818
chr1	7150000	7200000	1023	2.77032
chr1	7200000	7250000	1068	2.96554
chr1	7250000	7300000	1012	2.81612
chr1	7300000	7350000	1069	2.98648
chr1	7350000	7400000	1039	2.90516
chr1	7400000	7450000	875	2.39714
chr1	7450000	7500000	886	2.45958
chr1	7500000	7550000	911	2.40372
chr1	7550000	7600000	881	2.43708
chr1	7600000	7650000	816	2.23792
chr1	7650000	7700000	833	2.28562
chr1	7700000	7750000	732	1.9732
chr1	7750000	7800000	978	2.6866
chr1	7800000	7850000	1542	4.12604
chr1	7850000	7900000	1169	3.28308
chr1	7900000	7950000	907	2.49526
chr1	7950000	8000000	1478	4.03068
chr1	8000000	8050000	1983	5.13998
chr1	8050000	8100000	1278	3.45764
chr1	8100000	8150000	1048	2.95716
chr1	8150000	8200000	955	2.69804
chr1	8200000	8250000	912	2.58568
chr1	8250000	8300000	830	2.31644
chr1	8300000	8350000	781	2.17716
chr1	8350000	8400000	910	2.46994
chr1	8400000	8450000	11100	26.635
chr1	8450000	8500000	4462	11.1555
chr1	8500000	8550000	3746	9.66656
chr1	8550000	8600000	2047	5.43462
chr1	8600000	8650000	1381	3.7744
chr1	8650000	8700000	1335	3.65408
chr1	8700000	8750000	1575	4.32246
chr1	8750000	8800000	1928	5.1168
chr1	8800000	8850000	1340	3.67762
chr1	8850000	8900000	1079	3.04454
chr1	8900000	8950000	7352	17.6981
chr1	8950000	9000000	1170	3.10724
chr1	9000000	9050000	1541	3.90136
chr1	9050000	9100000	874	2.4122
chr1	9100000	9150000	827	2.31672
chr1	9150000	9200000	929	2.50424
chr1	9200000	9250000	1179	3.1013
chr1	9250000	9300000	1328	3.49534
chr1	9300000	9350000	2513	6.05254
chr1	9350000	9400000	5791	14.1317
chr1	9400000	9450000	3456	8.34552
chr1	9450000	9500000	975	2.64064
chr1	9500000	9550000	779	2.17158
chr1	9550000	9600000	817	2.27912
chr1	9600000	9650000	2788	7.02986
chr1	9650000	9700000	4000	9.73066
chr1	9700000	9750000	2345	5.84156
chr1	9750000	9800000	14209	33.2377
chr1	9800000	9850000	1984	5.12118
chr1	9850000	9900000	1477	3.9089
chr1	9900000	9950000	1370	3.54548
chr1	9950000	10000000	1348	3.6463
chr1	10000000	10050000	957	2.70032
chr1	10050000	10100000	1326	3.5615
chr1	10100000	10150000	2657	6.78746
chr1	10150000	10200000	1728	4.4413
chr1	10200000	10250000	1865	4.9806
chr1	10250000	10300000	1070	2.95082
chr1	10300000	10350000	1119	3.13706
chr1	10350000	10400000	1681	4.53412
chr1	10400000	10450000	1979	5.26246
chr1	10450000	10500000	1400	3.71846
chr1	10500000	10550000	1728	4.39414
chr1	10550000	10600000	3954	9.9019
chr1	10600000	10650000	2450	6.37688
chr1	10650000	10700000	4152	9.83892
chr1	10700000	10750000	5192	12.1859
chr1	10750000	10800000	1253	3.09632
chr1	10800000	10850000	822	2.2617
chr1	10850000	10900000	771	2.12748
chr1	10900000	10950000	813	2.22908
chr1	10950000	11000000	786	2.1979
chr1	11000000	11050000	860	2.36738
chr1	11050000	11100000	2161	5.68548
chr1	11100000	11150000	5107	11.9817
chr1	11150000	11200000	1426	3.80084
chr1	11200000	11250000	1685	4.36788
chr1	11250000	11300000	3168	7.97564
chr1	11300000	11350000	4923	12.1824
chr1	11350000	11400000	1159	3.09456
chr1	11400000	11450000	789	2.19942
chr1	11450000	11500000	936	2.63918
chr1	11500000	11550000	861	2.31954
chr1	11550000	11600000	1211	3.04104
chr1	11600000	11650000	895	2.40392
chr1	11650000	11700000	781	2.1618
chr1	11700000	11750000	3986	9.60626
chr1	11750000	11800000	929	2.46868
chr1	11800000	11850000	1617	4.11538
chr1	11850000	11900000	3738	9.14412
chr1	11900000	11950000	1234	3.25234
chr1	11950000	12000000	1105	2.95398
chr1	12000000	12050000	1605	4.09124
chr1	12050000	12100000	3453	8.51182
chr1	12100000	12150000	2933	7.30286
chr1	12150000	12200000	3707	9.37654
chr1	12200000	12250000	10364	24.2037
chr1	12250000	12300000	3807	9.01742
chr1	12300000	12350000	1240	3.42866
chr1	12350000	12400000	1242	3.43556
chr1	12400000	12450000	1630	4.40988
chr1	12450000	12500000	2048	5.37062
chr1	12500000	12550000	2258	5.8641
chr1	12550000	12600000	2511	6.25506
chr1	12600000	12650000	1868	4.72778
chr1	12650000	12700000	2498	6.23982
chr1	12700000	12750000	866	2.43226
chr1	12750000	12800000	886	2.529
chr1	12800000	12850000	901	2.5456
chr1	12850000	12900000	881	2.54522
chr1	12900000	12950000	882	2.57124
chr1	12950000	13000000	310	0.9111
chr1	13000000	13050000	63	0.18128
chr1	13050000	13100000	8	0.02044
chr1	13100000	13150000	241	0.71372
chr1	13150000	13200000	504	1.4556
chr1	13200000	13250000	80	0.2377
chr1	13250000	13300000	0	0
chr1	13300000	13350000	14	0.04142
chr1	13350000	13400000	62	0.18306
chr1	13400000	13450000	13	0.03754
chr1	13450000	13500000	10	0.02926
chr1	13500000	13550000	22	0.06468
chr1	13550000	13600000	1	0.0017
chr1	13600000	13650000	4	0.01184
chr1	13650000	13700000	22	0.06362
chr1	13700000	13750000	53	0.15774
chr1	13750000	13800000	352	1.01978
chr1	13800000	13850000	769	2.11564
chr1	13850000	13900000	867	2.45762
chr1	13900000	13950000	841	2.3688
chr1	13950000	14000000	903	2.55592
chr1	14000000	14050000	2529	6.49704
chr1	14050000	14100000	5357	13.4418
chr1	14100000	14150000	12792	30.8144
chr1	14150000	14200000	1473	3.8428
chr1	14200000	14250000	948	2.65832
chr1	14250000	14300000	1078	3.03766
chr1	14300000	14350000	1110	3.10304
chr1	14350000	14400000	993	2.79246
chr1	14400000	14450000	966	2.73038
chr1	14450000	14500000	934	2.61666
chr1	14500000	14550000	890	2.4923
chr1	14550000	14600000	912	2.59854
chr1	14600000	14650000	907	2.55906
chr1	14650000	14700000	926	2.64362
chr1	14700000	14750000	941	2.6317
chr1	14750000	14800000	894	2.53534
chr1	14800000	14850000	885	2.4671
chr1	14850000	14900000	822	2.32668
chr1	14900000	14950000	934	2.61494
chr1	14950000	15000000	871	2.46486
chr1	15000000	15050000	947	2.67316
chr1	15050000	15100000	847	2.39342
chr1	15100000	15150000	836	2.35016
chr1	15150000	15200000	814	2.30566
chr1	15200000	15250000	808	2.22872
chr1	15250000	15300000	973	2.60652
chr1	15300000	15350000	856	2.36188
chr1	15350000	15400000	879	2.4136
